device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
YCOR:IN20:122,BDES,kG*m,YC00,-1/(10.0),bl_kick,0
XCOR:IN20:121,BDES,kG*m,XC00,-1/(10.0),bl_kick,0
XCOR:IN20:221,BDES,kG*m,XC01,-1/(10.0),bl_kick,0
YCOR:IN20:222,BDES,kG*m,YC01,-1/(10.0),bl_kick,0
YCOR:IN20:312,BDES,kG*m,YC02,-1/(10.0),bl_kick,0
XCOR:IN20:311,BDES,kG*m,XC02,-1/(10.0),bl_kick,0
YCOR:IN20:342,BDES,kG*m,YC03,-1/(10.0),bl_kick,0
XCOR:IN20:341,BDES,kG*m,XC03,-1/(10.0),bl_kick,0
YCOR:IN20:382,BDES,kG*m,YC04,-1/(10.0),bl_kick,0
XCOR:IN20:381,BDES,kG*m,XC04,-1/(10.0),bl_kick,0
YCOR:IN20:412,BDES,kG*m,YC05,-1/(10.0),bl_kick,0
XCOR:IN20:411,BDES,kG*m,XC05,-1/(10.0),bl_kick,0
YCOR:IN20:492,BDES,kG*m,YC06,-1/(10.0),bl_kick,0
XCOR:IN20:491,BDES,kG*m,XC06,-1/(10.0),bl_kick,0
XCOR:IN20:521,BDES,kG*m,XC07,-1/(10.0),bl_kick,0
YCOR:IN20:522,BDES,kG*m,YC07,-1/(10.0),bl_kick,0
XCOR:IN20:641,BDES,kG*m,XC08,-1/(10.0),bl_kick,0
YCOR:IN20:642,BDES,kG*m,YC08,-1/(10.0),bl_kick,0
XCOR:IN20:721,BDES,kG*m,XC09,-1/(10.0),bl_kick,0
YCOR:IN20:722,BDES,kG*m,YC09,-1/(10.0),bl_kick,0
XCOR:IN20:761,BDES,kG*m,XC10,-1/(10.0),bl_kick,0
YCOR:IN20:762,BDES,kG*m,YC10,-1/(10.0),bl_kick,0
YCOR:LI21:102,BDES,kG*m,YC21102,-1/(10.0),bl_kick,0
XCOR:LI21:101,BDES,kG*m,XC21101,-1/(10.0),bl_kick,0
YCOR:LI21:136,BDES,kG*m,YC21136,-1/(10.0),bl_kick,0
XCOR:LI21:135,BDES,kG*m,XC21135,-1/(10.0),bl_kick,0
YCOR:LI21:166,BDES,kG*m,YC21166,-1/(10.0),bl_kick,0
XCOR:LI21:165,BDES,kG*m,XC21165,-1/(10.0),bl_kick,0
YCOR:LI21:174,BDES,kG*m,YC21174,-1/(10.0),bl_kick,0
XCOR:LI21:175,BDES,kG*m,XC21175,-1/(10.0),bl_kick,0
YCOR:LI21:192,BDES,kG*m,YC21192,-1/(10.0),bl_kick,0
XCOR:LI21:191,BDES,kG*m,XC21191,-1/(10.0),bl_kick,0
XCOR:LI21:275,BDES,kG*m,XC21275,-1/(10.0),bl_kick,0
YCOR:LI21:276,BDES,kG*m,YC21276,-1/(10.0),bl_kick,0
XCOR:LI21:302,BDES,kG*m,XC21302,-1/(10.0),bl_kick,0
YCOR:LI21:303,BDES,kG*m,YC21303,-1/(10.0),bl_kick,0
XCOR:LI21:325,BDES,kG*m,XC21325,-1/(10.0),bl_kick,0
YCOR:LI21:325,BDES,kG*m,YC21325,-1/(10.0),bl_kick,0
XCOR:LI21:402,BDES,kG*m,XC21402,-1/(10.0),bl_kick,0
YCOR:LI21:403,BDES,kG*m,YC21403,-1/(10.0),bl_kick,0
XCOR:LI21:502,BDES,kG*m,XC21502,-1/(10.0),bl_kick,0
YCOR:LI21:503,BDES,kG*m,YC21503,-1/(10.0),bl_kick,0
XCOR:LI21:602,BDES,kG*m,XC21602,-1/(10.0),bl_kick,0
YCOR:LI21:603,BDES,kG*m,YC21603,-1/(10.0),bl_kick,0
XCOR:LI21:702,BDES,kG*m,XC21702,-1/(10.0),bl_kick,0
YCOR:LI21:703,BDES,kG*m,YC21703,-1/(10.0),bl_kick,0
XCOR:LI21:802,BDES,kG*m,XC21802,-1/(10.0),bl_kick,0
YCOR:LI21:803,BDES,kG*m,YC21803,-1/(10.0),bl_kick,0
XCOR:LI21:900,BDES,kG*m,XC21900,-1/(10.0),bl_kick,0
YCOR:LI21:900,BDES,kG*m,YC21900,-1/(10.0),bl_kick,0
XCOR:LI22:202,BDES,kG*m,XC22202,-1/(10.0),bl_kick,0
YCOR:LI22:203,BDES,kG*m,YC22203,-1/(10.0),bl_kick,0
XCOR:LI22:302,BDES,kG*m,XC22302,-1/(10.0),bl_kick,0
YCOR:LI22:303,BDES,kG*m,YC22303,-1/(10.0),bl_kick,0
XCOR:LI22:402,BDES,kG*m,XC22402,-1/(10.0),bl_kick,0
YCOR:LI22:403,BDES,kG*m,YC22403,-1/(10.0),bl_kick,0
XCOR:LI22:502,BDES,kG*m,XC22502,-1/(10.0),bl_kick,0
YCOR:LI22:503,BDES,kG*m,YC22503,-1/(10.0),bl_kick,0
XCOR:LI22:602,BDES,kG*m,XC22602,-1/(10.0),bl_kick,0
YCOR:LI22:603,BDES,kG*m,YC22603,-1/(10.0),bl_kick,0
XCOR:LI22:702,BDES,kG*m,XC22702,-1/(10.0),bl_kick,0
YCOR:LI22:703,BDES,kG*m,YC22703,-1/(10.0),bl_kick,0
XCOR:LI22:802,BDES,kG*m,XC22802,-1/(10.0),bl_kick,0
YCOR:LI22:803,BDES,kG*m,YC22803,-1/(10.0),bl_kick,0
XCOR:LI22:900,BDES,kG*m,XC22900,-1/(10.0),bl_kick,0
YCOR:LI22:900,BDES,kG*m,YC22900,-1/(10.0),bl_kick,0
XCOR:LI23:202,BDES,kG*m,XC23202,-1/(10.0),bl_kick,0
YCOR:LI23:203,BDES,kG*m,YC23203,-1/(10.0),bl_kick,0
XCOR:LI23:302,BDES,kG*m,XC23302,-1/(10.0),bl_kick,0
YCOR:LI23:303,BDES,kG*m,YC23303,-1/(10.0),bl_kick,0
XCOR:LI23:402,BDES,kG*m,XC23402,-1/(10.0),bl_kick,0
YCOR:LI23:403,BDES,kG*m,YC23403,-1/(10.0),bl_kick,0
XCOR:LI23:502,BDES,kG*m,XC23502,-1/(10.0),bl_kick,0
YCOR:LI23:503,BDES,kG*m,YC23503,-1/(10.0),bl_kick,0
XCOR:LI23:602,BDES,kG*m,XC23602,-1/(10.0),bl_kick,0
YCOR:LI23:603,BDES,kG*m,YC23603,-1/(10.0),bl_kick,0
XCOR:LI23:702,BDES,kG*m,XC23702,-1/(10.0),bl_kick,0
YCOR:LI23:703,BDES,kG*m,YC23703,-1/(10.0),bl_kick,0
XCOR:LI23:802,BDES,kG*m,XC23802,-1/(10.0),bl_kick,0
YCOR:LI23:803,BDES,kG*m,YC23803,-1/(10.0),bl_kick,0
XCOR:LI23:900,BDES,kG*m,XC23900,-1/(10.0),bl_kick,0
YCOR:LI23:900,BDES,kG*m,YC23900,-1/(10.0),bl_kick,0
XCOR:LI24:202,BDES,kG*m,XC24202,-1/(10.0),bl_kick,0
YCOR:LI24:203,BDES,kG*m,YC24203,-1/(10.0),bl_kick,0
XCOR:LI24:302,BDES,kG*m,XC24302,-1/(10.0),bl_kick,0
YCOR:LI24:303,BDES,kG*m,YC24303,-1/(10.0),bl_kick,0
XCOR:LI24:402,BDES,kG*m,XC24402,-1/(10.0),bl_kick,0
YCOR:LI24:403,BDES,kG*m,YC24403,-1/(10.0),bl_kick,0
XCOR:LI24:502,BDES,kG*m,XC24502,-1/(10.0),bl_kick,0
YCOR:LI24:503,BDES,kG*m,YC24503,-1/(10.0),bl_kick,0
XCOR:LI24:602,BDES,kG*m,XC24602,-1/(10.0),bl_kick,0
YCOR:LI24:603,BDES,kG*m,YC24603,-1/(10.0),bl_kick,0
XCOR:LI24:702,BDES,kG*m,XC24702,-1/(10.0),bl_kick,0
YCOR:LI24:703,BDES,kG*m,YC24703,-1/(10.0),bl_kick,0
XCOR:LI24:900,BDES,kG*m,XC24900,-1/(10.0),bl_kick,0
YCOR:LI24:900,BDES,kG*m,YC24900,-1/(10.0),bl_kick,0
XCOR:LI25:202,BDES,kG*m,XC25202,-1/(10.0),bl_kick,0
YCOR:LI25:203,BDES,kG*m,YC25203,-1/(10.0),bl_kick,0
XCOR:LI25:302,BDES,kG*m,XC25302,-1/(10.0),bl_kick,0
YCOR:LI25:303,BDES,kG*m,YC25303,-1/(10.0),bl_kick,0
XCOR:LI25:402,BDES,kG*m,XC25402,-1/(10.0),bl_kick,0
YCOR:LI25:403,BDES,kG*m,YC25403,-1/(10.0),bl_kick,0
XCOR:LI25:502,BDES,kG*m,XC25502,-1/(10.0),bl_kick,0
YCOR:LI25:503,BDES,kG*m,YC25503,-1/(10.0),bl_kick,0
XCOR:LI25:602,BDES,kG*m,XC25602,-1/(10.0),bl_kick,0
YCOR:LI25:603,BDES,kG*m,YC25603,-1/(10.0),bl_kick,0
XCOR:LI25:702,BDES,kG*m,XC25702,-1/(10.0),bl_kick,0
YCOR:LI25:703,BDES,kG*m,YC25703,-1/(10.0),bl_kick,0
XCOR:LI25:802,BDES,kG*m,XC25802,-1/(10.0),bl_kick,0
YCOR:LI25:803,BDES,kG*m,YC25803,-1/(10.0),bl_kick,0
XCOR:LI25:900,BDES,kG*m,XC25900,-1/(10.0),bl_kick,0
YCOR:LI25:900,BDES,kG*m,YC25900,-1/(10.0),bl_kick,0
XCOR:LI26:202,BDES,kG*m,XC26202,-1/(10.0),bl_kick,0
YCOR:LI26:203,BDES,kG*m,YC26203,-1/(10.0),bl_kick,0
XCOR:LI26:302,BDES,kG*m,XC26302,-1/(10.0),bl_kick,0
YCOR:LI26:303,BDES,kG*m,YC26303,-1/(10.0),bl_kick,0
XCOR:LI26:402,BDES,kG*m,XC26402,-1/(10.0),bl_kick,0
YCOR:LI26:403,BDES,kG*m,YC26403,-1/(10.0),bl_kick,0
XCOR:LI26:502,BDES,kG*m,XC26502,-1/(10.0),bl_kick,0
YCOR:LI26:503,BDES,kG*m,YC26503,-1/(10.0),bl_kick,0
XCOR:LI26:602,BDES,kG*m,XC26602,-1/(10.0),bl_kick,0
YCOR:LI26:603,BDES,kG*m,YC26603,-1/(10.0),bl_kick,0
XCOR:LI26:702,BDES,kG*m,XC26702,-1/(10.0),bl_kick,0
YCOR:LI26:703,BDES,kG*m,YC26703,-1/(10.0),bl_kick,0
XCOR:LI26:802,BDES,kG*m,XC26802,-1/(10.0),bl_kick,0
YCOR:LI26:803,BDES,kG*m,YC26803,-1/(10.0),bl_kick,0
XCOR:LI26:900,BDES,kG*m,XC26900,-1/(10.0),bl_kick,0
YCOR:LI26:900,BDES,kG*m,YC26900,-1/(10.0),bl_kick,0
XCOR:LI27:202,BDES,kG*m,XC27202,-1/(10.0),bl_kick,0
YCOR:LI27:203,BDES,kG*m,YC27203,-1/(10.0),bl_kick,0
XCOR:LI27:302,BDES,kG*m,XC27302,-1/(10.0),bl_kick,0
YCOR:LI27:303,BDES,kG*m,YC27303,-1/(10.0),bl_kick,0
XCOR:LI27:402,BDES,kG*m,XC27402,-1/(10.0),bl_kick,0
YCOR:LI27:403,BDES,kG*m,YC27403,-1/(10.0),bl_kick,0
XCOR:LI27:502,BDES,kG*m,XC27502,-1/(10.0),bl_kick,0
YCOR:LI27:503,BDES,kG*m,YC27503,-1/(10.0),bl_kick,0
XCOR:LI27:602,BDES,kG*m,XC27602,-1/(10.0),bl_kick,0
YCOR:LI27:603,BDES,kG*m,YC27603,-1/(10.0),bl_kick,0
XCOR:LI27:702,BDES,kG*m,XC27702,-1/(10.0),bl_kick,0
YCOR:LI27:703,BDES,kG*m,YC27703,-1/(10.0),bl_kick,0
XCOR:LI27:802,BDES,kG*m,XC27802,-1/(10.0),bl_kick,0
YCOR:LI27:803,BDES,kG*m,YC27803,-1/(10.0),bl_kick,0
XCOR:LI27:900,BDES,kG*m,XC27900,-1/(10.0),bl_kick,0
YCOR:LI27:900,BDES,kG*m,YC27900,-1/(10.0),bl_kick,0
XCOR:LI28:202,BDES,kG*m,XC28202,-1/(10.0),bl_kick,0
YCOR:LI28:203,BDES,kG*m,YC28203,-1/(10.0),bl_kick,0
XCOR:LI28:302,BDES,kG*m,XC28302,-1/(10.0),bl_kick,0
YCOR:LI28:303,BDES,kG*m,YC28303,-1/(10.0),bl_kick,0
XCOR:LI28:402,BDES,kG*m,XC28402,-1/(10.0),bl_kick,0
YCOR:LI28:403,BDES,kG*m,YC28403,-1/(10.0),bl_kick,0
XCOR:LI28:502,BDES,kG*m,XC28502,-1/(10.0),bl_kick,0
YCOR:LI28:503,BDES,kG*m,YC28503,-1/(10.0),bl_kick,0
XCOR:LI28:602,BDES,kG*m,XC28602,-1/(10.0),bl_kick,0
YCOR:LI28:603,BDES,kG*m,YC28603,-1/(10.0),bl_kick,0
XCOR:LI28:702,BDES,kG*m,XC28702,-1/(10.0),bl_kick,0
YCOR:LI28:703,BDES,kG*m,YC28703,-1/(10.0),bl_kick,0
XCOR:LI28:802,BDES,kG*m,XC28802,-1/(10.0),bl_kick,0
YCOR:LI28:803,BDES,kG*m,YC28803,-1/(10.0),bl_kick,0
XCOR:LI28:900,BDES,kG*m,XC28900,-1/(10.0),bl_kick,0
YCOR:LI28:900,BDES,kG*m,YC28900,-1/(10.0),bl_kick,0
XCOR:LI29:202,BDES,kG*m,XC29202,-1/(10.0),bl_kick,0
YCOR:LI29:203,BDES,kG*m,YC29203,-1/(10.0),bl_kick,0
XCOR:LI29:302,BDES,kG*m,XC29302,-1/(10.0),bl_kick,0
YCOR:LI29:303,BDES,kG*m,YC29303,-1/(10.0),bl_kick,0
XCOR:LI29:402,BDES,kG*m,XC29402,-1/(10.0),bl_kick,0
YCOR:LI29:403,BDES,kG*m,YC29403,-1/(10.0),bl_kick,0
XCOR:LI29:502,BDES,kG*m,XC29502,-1/(10.0),bl_kick,0
YCOR:LI29:503,BDES,kG*m,YC29503,-1/(10.0),bl_kick,0
XCOR:LI29:602,BDES,kG*m,XC29602,-1/(10.0),bl_kick,0
YCOR:LI29:603,BDES,kG*m,YC29603,-1/(10.0),bl_kick,0
XCOR:LI29:702,BDES,kG*m,XC29702,-1/(10.0),bl_kick,0
YCOR:LI29:703,BDES,kG*m,YC29703,-1/(10.0),bl_kick,0
XCOR:LI29:802,BDES,kG*m,XC29802,-1/(10.0),bl_kick,0
YCOR:LI29:803,BDES,kG*m,YC29803,-1/(10.0),bl_kick,0
XCOR:LI29:900,BDES,kG*m,XC29900,-1/(10.0),bl_kick,0
YCOR:LI29:900,BDES,kG*m,YC29900,-1/(10.0),bl_kick,0
XCOR:LI30:202,BDES,kG*m,XC30202,-1/(10.0),bl_kick,0
YCOR:LI30:203,BDES,kG*m,YC30203,-1/(10.0),bl_kick,0
XCOR:LI30:302,BDES,kG*m,XC30302,-1/(10.0),bl_kick,0
YCOR:LI30:303,BDES,kG*m,YC30303,-1/(10.0),bl_kick,0
XCOR:LI30:402,BDES,kG*m,XC30402,-1/(10.0),bl_kick,0
YCOR:LI30:403,BDES,kG*m,YC30403,-1/(10.0),bl_kick,0
XCOR:LI30:502,BDES,kG*m,XC30502,-1/(10.0),bl_kick,0
YCOR:LI30:503,BDES,kG*m,YC30503,-1/(10.0),bl_kick,0
XCOR:LI30:602,BDES,kG*m,XC30602,-1/(10.0),bl_kick,0
YCOR:LI30:603,BDES,kG*m,YC30603,-1/(10.0),bl_kick,0
XCOR:LI30:702,BDES,kG*m,XC30702,-1/(10.0),bl_kick,0
